"","min","Q.1","median","mean","Q.3","max","Tree","Picture","SourceFile","FileName","ImageWidth","ImageHeight","CreateDate"
"1",1612.8,1702.2,1791.6,1811.01081081081,1926.6,2019.6,1,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:08:06 09:05:10"
"2",1480.8,1696.5,2637.3,2556.77368421053,3258.3,3650.4,2,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:08:06 09:05:10"
"3",892.2,1141.5,1287,1270.68648648649,1427.25,1506,3,1,"IMAG0001.JPG","IMAG0001.JPG",3648,2736,"2019:08:06 09:05:10"
"4",997.8,1342.8,1688.4,1553.35135135135,1768.2,1852.8,1,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:08:06 09:05:29"
"5",1252.8,1303.2,1320.6,1327.21578947368,1349.7,1450.2,2,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:08:06 09:05:29"
"6",1777.2,2287.8,2559.3,2432.45675675676,2673,2753.4,3,2,"IMAG0002.JPG","IMAG0002.JPG",3648,2736,"2019:08:06 09:05:29"
"7",3646.8,3675.6,3696.6,3686.88648648649,3704.4,3707.4,1,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:08:06 09:06:07"
"8",2155.8,2185.95,2343,2313.45789473684,2427.6,2450.4,2,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:08:06 09:06:07"
"9",1876.8,2434.35,2648.7,2540.99189189189,2688,2700,3,3,"IMAG0003.JPG","IMAG0003.JPG",3648,2736,"2019:08:06 09:06:07"
"10",1230.6,1325.4,1507.8,1444.99459459459,1520.4,1551.6,1,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:08:06 09:06:18"
"11",2290.2,2600.25,2713.2,2673.55263157895,2749.65,2796,2,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:08:06 09:06:18"
"12",1218,1227.15,1371.6,1467.97297297297,1725.15,1903.2,3,4,"IMAG0004.JPG","IMAG0004.JPG",3648,2736,"2019:08:06 09:06:18"
"13",3189,3210,3234,3231.95675675676,3252,3270,1,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:08:06 09:06:30"
"14",3705,3752.7,3801,3777.47368421053,3804,3807,2,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:08:06 09:06:30"
"15",1947,1968.15,1987.5,1989.6972972973,2010,2037,3,5,"IMAG0005.JPG","IMAG0005.JPG",3648,2736,"2019:08:06 09:06:30"
"16",3993,4005,4020,4019.75675675676,4032,4050,1,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:08:06 09:06:42"
"17",3825,3860.7,3891.6,3902.38421052632,3949.05,3994.2,2,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:08:06 09:06:42"
"18",3153,3328.95,3600.3,3556.61351351351,3765.75,3876,3,6,"IMAG0006.JPG","IMAG0006.JPG",3648,2736,"2019:08:06 09:06:42"
"19",4119,4122,4128,4131.21081081081,4144.2,4146,1,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:08:06 09:06:53"
"20",3546,3623.25,3733.5,3748.01052631579,3869.85,3960,2,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:08:06 09:06:53"
"21",3870.6,3879.75,3891,3895.19189189189,3909,3930,3,7,"IMAG0007.JPG","IMAG0007.JPG",3648,2736,"2019:08:06 09:06:53"
"22",712.8,958.2,1251.6,1139.15675675676,1312.2,1366.8,1,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:08:06 09:07:04"
"23",1667.4,1762.65,1804.8,1855.65789473684,1977,2073.6,2,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:08:06 09:07:04"
"24",1368,2440.8,2562,2499.55135135135,2657.25,2736,3,8,"IMAG0008.JPG","IMAG0008.JPG",3648,2736,"2019:08:06 09:07:04"
"25",3931.2,3950.4,3991.2,3983.44864864865,4009.8,4043.4,1,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:08:06 09:07:28"
"26",1508.4,1527.75,1561.5,1560.86842105263,1588.35,1614.6,2,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:08:06 09:07:28"
"27",1874.4,2013.6,2476.8,2532.04864864865,2839.05,3706.8,3,9,"IMAG0009.JPG","IMAG0009.JPG",3648,2736,"2019:08:06 09:07:28"
"28",809.4,906,1142.4,1351.2972972973,1772.4,2369.4,1,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:08:06 11:05:27"
"29",2246.4,2416.05,2703.9,2737.59473684211,3125.55,3217.8,2,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:08:06 11:05:27"
"30",2130,2234.55,2595.3,2747.57837837838,3235.2,3652.8,3,10,"IMAG0010.JPG","IMAG0010.JPG",3648,2736,"2019:08:06 11:05:27"
"31",2230.2,2464.8,2547,2604.87567567568,2717.4,3138,1,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:08:06 13:05:27"
"32",2140.2,2334.75,2730.3,2671.53157894737,3020.25,3118.2,2,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:08:06 13:05:27"
"33",1258.8,1581.45,1808.7,2104.36216216216,2721.3,3136.8,3,11,"IMAG0011.JPG","IMAG0011.JPG",3648,2736,"2019:08:06 13:05:27"
"34",570,577.8,1011,1419.06486486486,2366.4,2766.6,1,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:08:06 15:05:28"
"35",2136.6,2444.85,2525.4,2591.03684210526,2824.05,2911.2,2,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:08:06 15:05:28"
"36",2214.6,2569.2,2630.4,2728.71081081081,2786.7,3366,3,12,"IMAG0012.JPG","IMAG0012.JPG",3648,2736,"2019:08:06 15:05:28"
